question_id,agent,model,question,topic,answer_pred,answer_gold,hit,agee,coverage,info_rate,efficiency,traj_length,n_unique,n_nodes_graph,n_edges_graph,n_steps,time_sec,skip_reason
0,llm_react,mistral:7b-instruct,who starred together with [Mike Patton],Mike Patton,Mike Patton,Karen Black,1,0.4804079832656207,0.6,0.145,1.0,10,3,5,4,10,110.69771075248718,
1,llm_react,mistral:7b-instruct,what are the main languages in [Maurizio Lucidi] written films,Maurizio Lucidi,Italian,Italian,1,0.5371295918232165,0.42857142857142855,0.39880952380952384,1.0,4,3,7,6,4,60.104042530059814,
2,llm_react,mistral:7b-instruct,who acted together with [Gunnel Lindblom],Gunnel Lindblom,"5 (Gunnel Lindblom) as we are already connected to her and need to find more actors who acted together. If we can find another actor connected to Gunnel Lindblom, it would help us answer the question.",Bibi Andersson|Ingrid Thulin|Harriet Andersson,0,0.2603971784149855,0.03174603174603174,0.2916666666666667,1.0,6,2,21,22,6,87.62576675415039,
3,llm_react,mistral:7b-instruct,who starred in the movies written by [Jerry LaMothe],Jerry LaMothe,Jerry LaMothe,Amber Tamblyn|Jeffrey Wright|Katie Stuart|Aidan Gillen|Michael B. Jordan|Armie Hammer|Zoe Saldana,1,0.37813790273676984,0.35714285714285715,0.16283716283716285,0.8809523809523809,11,5,14,13,10,208.67155742645264,
4,llm_react,mistral:7b-instruct,the screenwriter [Aaron Lipstadt] co-wrote films with who,Aaron Lipstadt,James Reigle,James Reigle,1,0.3025050900360616,0.1875,0.13125,1.0,10,3,8,7,10,92.74311447143555,
5,llm_react,mistral:7b-instruct,what types are the movies written by [Rob Williams],Rob Williams,Rob Williams,Comedy,0,0.5886179946601142,0.25,0.8214285714285714,1.0,2,2,8,7,2,22.998231887817383,
6,llm_react,mistral:7b-instruct,the scriptwriter of [The World of Apu] also wrote which films,The World of Apu,,Charulata|Ashani Sanket|Pather Panchali|Kanchenjungha|Aparajito,0,0.3905061622760074,3.316859597333244e-05,0.9156025075458556,1.0,2,2,4307,4505,2,42.36080741882324,
7,llm_react,mistral:7b-instruct,the screenwriter [Hermann Hesse] co-wrote movies with who,Hermann Hesse,Hermann Hesse,Conrad Rooks,0,0.4048245507242812,0.4,0.145,1.0,10,2,5,4,10,105.23952579498291,
8,llm_react,mistral:7b-instruct,what are the genres of the films written by [Andrea Gyertson Nasfell],Andrea Gyertson Nasfell,Comedy,Comedy,1,0.4327034295704625,0.2,0.4277777777777778,1.0,4,2,10,9,4,51.43559813499451,
9,llm_react,mistral:7b-instruct,who is listed as director of [Richard Wattis] starred movies,Richard Wattis,Val Guest,Val Guest,1,0.3976903767354566,0.4444444444444444,0.16805555555555557,0.7777777777777778,10,4,9,8,10,135.1685435771942,
