llm,question_id,mode,trajectory_len,hit,agee,S,I,E,source
Qwen-2.5-7B,0,traversal,4,0,0.6699402553641818,0.8,0.3625,1.0,measured
Qwen-2.5-7B,1,memory,1,0,,,,,measured
Qwen-2.5-7B,2,traversal,8,1,0.5723264242911245,0.7705903563041967,0.27415293040293043,0.7894736842105263,measured
Qwen-2.5-7B,3,traversal,6,1,0.4943434951211222,0.42857142857142855,0.29853479853479853,1.0,measured
Qwen-2.5-7B,4,traversal,7,1,0.6388748187710432,0.9375,0.24464285714285713,0.9130434782608696,measured
Qwen-2.5-7B,5,memory,1,0,,,,,measured
Qwen-2.5-7B,6,memory,1,1,,,,,measured
Qwen-2.5-7B,7,memory,1,0,,,,,measured
Qwen-2.5-7B,8,traversal,4,1,0.5356757699574611,0.4,0.4277777777777778,1.0,measured
Qwen-2.5-7B,9,memory,1,0,,,,,measured
Qwen-2.5-7B,10,memory,1,0,,,,,measured
Qwen-2.5-7B,11,memory,1,0,,,,,measured
Qwen-2.5-7B,12,traversal,5,1,0.6798836449059503,0.703962233879344,0.5747110378808541,0.8,measured
Qwen-2.5-7B,13,traversal,5,1,0.7030499987246199,1.0,0.29,1.0,measured
Qwen-2.5-7B,14,traversal,7,1,0.47385471128409634,0.35627719216089176,0.40374006745555363,0.8260869565217391,measured
Qwen-2.5-7B,15,traversal,5,1,0.7884924638533254,0.9214021670134939,0.5267118135590237,1.0,measured
Qwen-2.5-7B,16,memory,1,1,,,,,measured
Qwen-2.5-7B,17,traversal,5,1,0.7030499987246199,1.0,0.29,1.0,measured
Qwen-2.5-7B,18,memory,1,0,,,,,measured
Qwen-2.5-7B,19,memory,1,0,,,,,measured
Qwen-2.5-7B,20,traversal,3,0,0.5379035228737238,0.3,0.5703703703703704,1.0,measured
Qwen-2.5-7B,21,traversal,9,1,0.6090082031081293,0.7968848590408928,0.2533637617077925,0.9772727272727272,measured
Qwen-2.5-7B,22,memory,1,0,,,,,measured
Qwen-2.5-7B,23,traversal,3,1,0.7757186296900005,0.7471623494762462,0.6630365150544523,1.0,measured
Qwen-2.5-7B,24,traversal,6,0,0.47270759091844194,0.375,0.30277777777777776,1.0,measured
Qwen-2.5-7B,25,memory,1,0,,,,,measured
Qwen-2.5-7B,26,memory,1,1,,,,,measured
Qwen-2.5-7B,27,traversal,7,1,0.5787523910411977,0.6346153846153846,0.30126540126540124,1.0,measured
Qwen-2.5-7B,28,memory,1,0,,,,,measured
Qwen-2.5-7B,29,memory,1,0,,,,,measured
Qwen-2.5-7B,30,memory,1,0,,,,,measured
Qwen-2.5-7B,31,memory,1,0,,,,,measured
Qwen-2.5-7B,32,memory,1,0,,,,,measured
Qwen-2.5-7B,33,traversal,3,0,0.6768790452625122,0.5882352941176471,0.5773420479302832,1.0,measured
Qwen-2.5-7B,34,memory,1,0,,,,,measured
Qwen-2.5-7B,35,memory,1,0,,,,,measured
Qwen-2.5-7B,36,traversal,3,1,0.8104153110605005,0.8343434343434343,0.6624150350691905,1.0,measured
Qwen-2.5-7B,37,traversal,6,1,0.6838194440251192,1.0,0.2555555555555556,1.0,measured
Qwen-2.5-7B,38,memory,1,0,,,,,measured
Qwen-2.5-7B,39,traversal,5,1,0.60331344585233,0.4293873500627789,0.6486442740958149,0.8666666666666667,measured
Qwen-2.5-7B,40,memory,1,0,,,,,measured
Qwen-2.5-7B,41,memory,1,0,,,,,measured
Qwen-2.5-7B,42,memory,1,0,,,,,measured
